"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Delaware"	"10"	"2016"	"2016"	288	952065	30.3
	"Delaware"	"10"	"2017"	"2017"	342	961939	35.6
	"District of Columbia"	"11"	"1999"	"1999"	55	570213	9.6
	"District of Columbia"	"11"	"2000"	"2000"	84	572059	14.7
	"District of Columbia"	"11"	"2001"	"2001"	111	574504	19.3
	"District of Columbia"	"11"	"2002"	"2002"	70	573158	12.2
	"District of Columbia"	"11"	"2003"	"2003"	119	568502	20.9
	"District of Columbia"	"11"	"2004"	"2004"	109	567754	19.2
	"District of Columbia"	"11"	"2005"	"2005"	94	567136	16.6
	"District of Columbia"	"11"	"2006"	"2006"	129	570681	22.6
	"District of Columbia"	"11"	"2007"	"2007"	90	574404	15.7
	"District of Columbia"	"11"	"2008"	"2008"	77	580236	13.3
	"District of Columbia"	"11"	"2009"	"2009"	58	592228	9.8
	"District of Columbia"	"11"	"2010"	"2010"	90	601723	15.0
	"District of Columbia"	"11"	"2011"	"2011"	94	617996	15.2
	"District of Columbia"	"11"	"2012"	"2012"	85	632323	13.4
	"District of Columbia"	"11"	"2013"	"2013"	113	646449	17.5
	"District of Columbia"	"11"	"2014"	"2014"	106	658893	16.1
	"District of Columbia"	"11"	"2015"	"2015"	130	672228	19.3
	"District of Columbia"	"11"	"2016"	"2016"	276	681170	40.5
	"District of Columbia"	"11"	"2017"	"2017"	322	693972	46.4
	"Florida"	"12"	"1999"	"1999"	1061	15759421	6.7
	"Florida"	"12"	"2000"	"2000"	1237	15982378	7.7
	"Florida"	"12"	"2001"	"2001"	1833	16356966	11.2
	"Florida"	"12"	"2002"	"2002"	2041	16689370	12.2
	"Florida"	"12"	"2003"	"2003"	2153	17004085	12.7
	"Florida"	"12"	"2004"	"2004"	2408	17415318	13.8
	"Florida"	"12"	"2005"	"2005"	2664	17842038	14.9
	"Florida"	"12"	"2006"	"2006"	2928	18166990	16.1
	"Florida"	"12"	"2007"	"2007"	2936	18367842	16.0
	"Florida"	"12"	"2008"	"2008"	3097	18527305	16.7
	"Florida"	"12"	"2009"	"2009"	3193	18652644	17.1
	"Florida"	"12"	"2010"	"2010"	3181	18801310	16.9
	"Florida"	"12"	"2011"	"2011"	3033	19057542	15.9
	"Florida"	"12"	"2012"	"2012"	2697	19317568	14.0
	"Florida"	"12"	"2013"	"2013"	2603	19552860	13.3
	"Florida"	"12"	"2014"	"2014"	2804	19893297	14.1
	"Florida"	"12"	"2015"	"2015"	3377	20271272	16.7
	"Florida"	"12"	"2016"	"2016"	4963	20612439	24.1
	"Florida"	"12"	"2017"	"2017"	5347	20984400	25.5
	"Georgia"	"13"	"1999"	"1999"	347	8045965	4.3
	"Georgia"	"13"	"2000"	"2000"	429	8186453	5.2
	"Georgia"	"13"	"2001"	"2001"	591	8377038	7.1
	"Georgia"	"13"	"2002"	"2002"	631	8508256	7.4
	"Georgia"	"13"	"2003"	"2003"	684	8622793	7.9
	"Georgia"	"13"	"2004"	"2004"	730	8769252	8.3
	"Georgia"	"13"	"2005"	"2005"	820	8925922	9.2
	"Georgia"	"13"	"2006"	"2006"	912	9155813	10.0
	"Georgia"	"13"	"2007"	"2007"	973	9349988	10.4
	"Georgia"	"13"	"2008"	"2008"	977	9504843	10.3
	"Georgia"	"13"	"2009"	"2009"	1043	9620846	10.8
	"Georgia"	"13"	"2010"	"2010"	1124	9687653	11.6
	"Georgia"	"13"	"2011"	"2011"	1112	9815210	11.3
	"Georgia"	"13"	"2012"	"2012"	1115	9919945	11.2
	"Georgia"	"13"	"2013"	"2013"	1160	9992167	11.6
	"Georgia"	"13"	"2014"	"2014"	1268	10097343	12.6
	"Georgia"	"13"	"2015"	"2015"	1370	10214860	13.4
	"Georgia"	"13"	"2016"	"2016"	1461	10310371	14.2
	"Georgia"	"13"	"2017"	"2017"	1629	10429379	15.6
	"Hawaii"	"15"	"1999"	"1999"	83	1210300	6.9
	"Hawaii"	"15"	"2000"	"2000"	64	1211537	5.3
	"Hawaii"	"15"	"2001"	"2001"	83	1225948	6.8
	"Hawaii"	"15"	"2002"	"2002"	85	1239613	6.9
	"Hawaii"	"15"	"2003"	"2003"	102	1251154	8.2
	"Hawaii"	"15"	"2004"	"2004"	128	1273569	10.1
	"Hawaii"	"15"	"2005"	"2005"	143	1292729	11.1
	"Hawaii"	"15"	"2006"	"2006"	131	1309731	10.0
	"Hawaii"	"15"	"2007"	"2007"	142	1315675	10.8
	"Hawaii"	"15"	"2008"	"2008"	129	1332213	9.7
	"Hawaii"	"15"	"2009"	"2009"	148	1346717	11.0
	"Hawaii"	"15"	"2010"	"2010"	154	1360301	11.3
	"Hawaii"	"15"	"2011"	"2011"	189	1374810	13.7
	"Hawaii"	"15"	"2012"	"2012"	159	1392313	11.4
	"Hawaii"	"15"	"2013"	"2013"	167	1404054	11.9
	"Hawaii"	"15"	"2014"	"2014"	174	1419561	12.3
	"Hawaii"	"15"	"2015"	"2015"	175	1431603	12.2
	"Hawaii"	"15"	"2016"	"2016"	207	1428557	14.5
	"Hawaii"	"15"	"2017"	"2017"	221	1427538	15.5
	"Idaho"	"16"	"1999"	"1999"	66	1275674	5.2
	"Idaho"	"16"	"2000"	"2000"	70	1293953	5.4
	"Idaho"	"16"	"2001"	"2001"	99	1319962	7.5
	"Idaho"	"16"	"2002"	"2002"	123	1340372	9.2
	"Idaho"	"16"	"2003"	"2003"	118	1363380	8.7
	"Idaho"	"16"	"2004"	"2004"	113	1391802	8.1
	"Idaho"	"16"	"2005"	"2005"	118	1428241	8.3
	"Idaho"	"16"	"2006"	"2006"	147	1468669	10.0
	"Idaho"	"16"	"2007"	"2007"	133	1505105	8.8
	"Idaho"	"16"	"2008"	"2008"	152	1534320	9.9
	"Idaho"	"16"	"2009"	"2009"	181	1554439	11.6
	"Idaho"	"16"	"2010"	"2010"	184	1567582	11.7
	"Idaho"	"16"	"2011"	"2011"	199	1584985	12.6
	"Idaho"	"16"	"2012"	"2012"	188	1595728	11.8
	"Idaho"	"16"	"2013"	"2013"	217	1612136	13.5
	"Idaho"	"16"	"2014"	"2014"	218	1634464	13.3
	"Idaho"	"16"	"2015"	"2015"	224	1654930	13.5
	"Idaho"	"16"	"2016"	"2016"	260	1683140	15.4
	"Idaho"	"16"	"2017"	"2017"	264	1716943	15.4
	"Illinois"	"17"	"1999"	"1999"	872	12359020	7.1
	"Illinois"	"17"	"2000"	"2000"	910	12419293	7.3
	"Illinois"	"17"	"2001"	"2001"	930	12488445	7.4
	"Illinois"	"17"	"2002"	"2002"	1030	12525556	8.2
	"Illinois"	"17"	"2003"	"2003"	872	12556006	6.9
	"Illinois"	"17"	"2004"	"2004"	1080	12589773	8.6
	"Illinois"	"17"	"2005"	"2005"	1140	12609903	9.0
	"Illinois"	"17"	"2006"	"2006"	1423	12643955	11.3
	"Illinois"	"17"	"2007"	"2007"	1239	12695866	9.8
	"Illinois"	"17"	"2008"	"2008"	1412	12747038	11.1
	"Illinois"	"17"	"2009"	"2009"	1427	12796778	11.2
	"Illinois"	"17"	"2010"	"2010"	1344	12830632	10.5
	"Illinois"	"17"	"2011"	"2011"	1459	12869257	11.3
	"Illinois"	"17"	"2012"	"2012"	1667	12875255	12.9
	"Illinois"	"17"	"2013"	"2013"	1607	12882135	12.5
	"Illinois"	"17"	"2014"	"2014"	1736	12880580	13.5
	"Illinois"	"17"	"2015"	"2015"	1872	12859995	14.6
	"Illinois"	"17"	"2016"	"2016"	2455	12801539	19.2
	"Illinois"	"17"	"2017"	"2017"	2812	12802023	22.0
	"Indiana"	"18"	"1999"	"1999"	251	6044969	4.2
	"Indiana"	"18"	"2000"	"2000"	289	6080485	4.8
	"Indiana"	"18"	"2001"	"2001"	348	6127760	5.7
	"Indiana"	"18"	"2002"	"2002"	345	6155967	5.6
	"Indiana"	"18"	"2003"	"2003"	498	6196638	8.0
	"Indiana"	"18"	"2004"	"2004"	606	6233007	9.7
	"Indiana"	"18"	"2005"	"2005"	665	6278616	10.6
	"Indiana"	"18"	"2006"	"2006"	773	6332669	12.2
	"Indiana"	"18"	"2007"	"2007"	827	6379599	13.0
	"Indiana"	"18"	"2008"	"2008"	869	6424806	13.5
	"Indiana"	"18"	"2009"	"2009"	929	6459325	14.4
	"Indiana"	"18"	"2010"	"2010"	964	6483802	14.9
	"Indiana"	"18"	"2011"	"2011"	1006	6516922	15.4
	"Indiana"	"18"	"2012"	"2012"	1056	6537334	16.2
	"Indiana"	"18"	"2013"	"2013"	1122	6570902	17.1
	"Indiana"	"18"	"2014"	"2014"	1233	6596855	18.7
	"Indiana"	"18"	"2015"	"2015"	1310	6619680	19.8
	"Indiana"	"18"	"2016"	"2016"	1574	6633053	23.7
	"Indiana"	"18"	"2017"	"2017"	1925	6666818	28.9
	"Iowa"	"19"	"1999"	"1999"	59	2917634	2.0
	"Iowa"	"19"	"2000"	"2000"	79	2926324	2.7
	"Iowa"	"19"	"2001"	"2001"	90	2931997	3.1
	"Iowa"	"19"	"2002"	"2002"	101	2934234	3.4
	"Iowa"	"19"	"2003"	"2003"	110	2941999	3.7
	"Iowa"	"19"	"2004"	"2004"	132	2953635	4.5
	"Iowa"	"19"	"2005"	"2005"	154	2964454	5.2
	"Iowa"	"19"	"2006"	"2006"	199	2982644	6.7
	"Iowa"	"19"	"2007"	"2007"	211	2999212	7.0
	"Iowa"	"19"	"2008"	"2008"	214	3016734	7.1
	"Iowa"	"19"	"2009"	"2009"	213	3032870	7.0
	"Iowa"	"19"	"2010"	"2010"	258	3046355	8.5
	"Iowa"	"19"	"2011"	"2011"	265	3062309	8.7
	"Iowa"	"19"	"2012"	"2012"	268	3074186	8.7
	"Iowa"	"19"	"2013"	"2013"	287	3090416	9.3
	"Iowa"	"19"	"2014"	"2014"	273	3107126	8.8
	"Iowa"	"19"	"2015"	"2015"	332	3123899	10.6
	"Iowa"	"19"	"2016"	"2016"	338	3134693	10.8
	"Iowa"	"19"	"2017"	"2017"	357	3145711	11.3
	"Kansas"	"20"	"1999"	"1999"	100	2678338	3.7
	"Kansas"	"20"	"2000"	"2000"	112	2688418	4.2
	"Kansas"	"20"	"2001"	"2001"	148	2702162	5.5
	"Kansas"	"20"	"2002"	"2002"	189	2713535	7.0
	"Kansas"	"20"	"2003"	"2003"	197	2723004	7.2
	"Kansas"	"20"	"2004"	"2004"	238	2734373	8.7
	"Kansas"	"20"	"2005"	"2005"	284	2745299	10.3
	"Kansas"	"20"	"2006"	"2006"	292	2762931	10.6
	"Kansas"	"20"	"2007"	"2007"	294	2783785	10.6
	"Kansas"	"20"	"2008"	"2008"	241	2808076	8.6
	"Kansas"	"20"	"2009"	"2009"	318	2832704	11.2
	"Kansas"	"20"	"2010"	"2010"	288	2853118	10.1
	"Kansas"	"20"	"2011"	"2011"	317	2871238	11.0
	"Kansas"	"20"	"2012"	"2012"	341	2885905	11.8
	"Kansas"	"20"	"2013"	"2013"	356	2893957	12.3
	"Kansas"	"20"	"2014"	"2014"	349	2904021	12.0
	"Kansas"	"20"	"2015"	"2015"	349	2911641	12.0
	"Kansas"	"20"	"2016"	"2016"	333	2907289	11.5
	"Kansas"	"20"	"2017"	"2017"	360	2913123	12.4
	"Kentucky"	"21"	"1999"	"1999"	215	4018053	5.4
	"Kentucky"	"21"	"2000"	"2000"	257	4041769	6.4
	"Kentucky"	"21"	"2001"	"2001"	370	4068132	9.1
	"Kentucky"	"21"	"2002"	"2002"	451	4089875	11.0
	"Kentucky"	"21"	"2003"	"2003"	588	4117170	14.3
	"Kentucky"	"21"	"2004"	"2004"	559	4146101	13.5
	"Kentucky"	"21"	"2005"	"2005"	662	4182742	15.8
	"Kentucky"	"21"	"2006"	"2006"	766	4219239	18.2
	"Kentucky"	"21"	"2007"	"2007"	722	4256672	17.0
	"Kentucky"	"21"	"2008"	"2008"	779	4289878	18.2
	"Kentucky"	"21"	"2009"	"2009"	786	4317074	18.2
	"Kentucky"	"21"	"2010"	"2010"	1036	4339367	23.9
	"Kentucky"	"21"	"2011"	"2011"	1099	4369356	25.2
	"Kentucky"	"21"	"2012"	"2012"	1126	4380415	25.7
	"Kentucky"	"21"	"2013"	"2013"	1049	4395295	23.9
	"Kentucky"	"21"	"2014"	"2014"	1128	4413457	25.6
	"Kentucky"	"21"	"2015"	"2015"	1332	4425092	30.1
	"Kentucky"	"21"	"2016"	"2016"	1525	4436974	34.4
	"Kentucky"	"21"	"2017"	"2017"	1662	4454189	37.3
	"Louisiana"	"22"	"1999"	"1999"	246	4460811	5.5
	"Louisiana"	"22"	"2000"	"2000"	335	4468976	7.5
	"Louisiana"	"22"	"2001"	"2001"	351	4477875	7.8
	"Louisiana"	"22"	"2002"	"2002"	468	4497267	10.4
	"Louisiana"	"22"	"2003"	"2003"	630	4521042	13.9
	"Louisiana"	"22"	"2004"	"2004"	656	4552238	14.4
	"Louisiana"	"22"	"2005"	"2005"	752	4576628	16.4
	"Louisiana"	"22"	"2006"	"2006"	800	4302665	18.6
	"Louisiana"	"22"	"2007"	"2007"	862	4375581	19.7
	"Louisiana"	"22"	"2008"	"2008"	686	4435586	15.5
	"Louisiana"	"22"	"2009"	"2009"	623	4491648	13.9
	"Louisiana"	"22"	"2010"	"2010"	616	4533372	13.6
	"Louisiana"	"22"	"2011"	"2011"	618	4574836	13.5
	"Louisiana"	"22"	"2012"	"2012"	588	4601893	12.8
	"Louisiana"	"22"	"2013"	"2013"	836	4625470	18.1
	"Louisiana"	"22"	"2014"	"2014"	810	4649676	17.4
	"Louisiana"	"22"	"2015"	"2015"	901	4670724	19.3
	"Louisiana"	"22"	"2016"	"2016"	1036	4681666	22.1
	"Louisiana"	"22"	"2017"	"2017"	1138	4684333	24.3
	"Maine"	"23"	"1999"	"1999"	70	1266808	5.5
	"Maine"	"23"	"2000"	"2000"	62	1274923	4.9
	"Maine"	"23"	"2001"	"2001"	92	1285692	7.2
	"Maine"	"23"	"2002"	"2002"	147	1295960	11.3
	"Maine"	"23"	"2003"	"2003"	134	1306513	10.3
	"Maine"	"23"	"2004"	"2004"	145	1313688	11.0
	"Maine"	"23"	"2005"	"2005"	168	1318787	12.7
	"Maine"	"23"	"2006"	"2006"	166	1323619	12.5
	"Maine"	"23"	"2007"	"2007"	161	1327040	12.1
	"Maine"	"23"	"2008"	"2008"	162	1330509	12.2
	"Maine"	"23"	"2009"	"2009"	182	1329590	13.7
	"Maine"	"23"	"2010"	"2010"	140	1328361	10.5
	"Maine"	"23"	"2011"	"2011"	160	1328188	12.0
	"Maine"	"23"	"2012"	"2012"	157	1329192	11.8
	"Maine"	"23"	"2013"	"2013"	183	1328302	13.8
	"Maine"	"23"	"2014"	"2014"	227	1330089	17.1
	"Maine"	"23"	"2015"	"2015"	278	1329328	20.9
	"Maine"	"23"	"2016"	"2016"	369	1331479	27.7
	"Maine"	"23"	"2017"	"2017"	443	1335907	33.2
	"Maryland"	"24"	"1999"	"1999"	660	5254509	12.6
	"Maryland"	"24"	"2000"	"2000"	657	5296486	12.4
	"Maryland"	"24"	"2001"	"2001"	676	5374691	12.6
	"Maryland"	"24"	"2002"	"2002"	759	5440389	14.0
	"Maryland"	"24"	"2003"	"2003"	834	5496269	15.2
	"Maryland"	"24"	"2004"	"2004"	721	5546935	13.0
	"Maryland"	"24"	"2005"	"2005"	696	5592379	12.4
	"Maryland"	"24"	"2006"	"2006"	805	5627367	14.3
	"Maryland"	"24"	"2007"	"2007"	807	5653408	14.3
	"Maryland"	"24"	"2008"	"2008"	731	5684965	12.9
	"Maryland"	"24"	"2009"	"2009"	768	5730388	13.4
	"Maryland"	"24"	"2010"	"2010"	674	5773552	11.7
	"Maryland"	"24"	"2011"	"2011"	731	5828289	12.5
	"Maryland"	"24"	"2012"	"2012"	860	5884563	14.6
	"Maryland"	"24"	"2013"	"2013"	908	5928814	15.3
	"Maryland"	"24"	"2014"	"2014"	1095	5976407	18.3
	"Maryland"	"24"	"2015"	"2015"	1320	6006401	22.0
	"Maryland"	"24"	"2016"	"2016"	2089	6016447	34.7
	"Maryland"	"24"	"2017"	"2017"	2296	6052177	37.9
	"Massachusetts"	"25"	"1999"	"1999"	512	6317345	8.1
	"Massachusetts"	"25"	"2000"	"2000"	484	6349097	7.6
	"Massachusetts"	"25"	"2001"	"2001"	714	6397634	11.2
	"Massachusetts"	"25"	"2002"	"2002"	736	6417206	11.5
	"Massachusetts"	"25"	"2003"	"2003"	876	6422565	13.6
	"Massachusetts"	"25"	"2004"	"2004"	704	6412281	11.0
	"Massachusetts"	"25"	"2005"	"2005"	867	6403290	13.5
	"Massachusetts"	"25"	"2006"	"2006"	1021	6410084	15.9
	"Massachusetts"	"25"	"2007"	"2007"	1003	6431559	15.6
	"Massachusetts"	"25"	"2008"	"2008"	885	6468967	13.7
	"Massachusetts"	"25"	"2009"	"2009"	916	6517613	14.1
	"Massachusetts"	"25"	"2010"	"2010"	836	6547629	12.8
	"Massachusetts"	"25"	"2011"	"2011"	1017	6587536	15.4
	"Massachusetts"	"25"	"2012"	"2012"	976	6646144	14.7
	"Massachusetts"	"25"	"2013"	"2013"	1200	6692824	17.9
	"Massachusetts"	"25"	"2014"	"2014"	1402	6745408	20.8
	"Massachusetts"	"25"	"2015"	"2015"	1851	6794422	27.2
	"Massachusetts"	"25"	"2016"	"2016"	2379	6811779	34.9
	"Massachusetts"	"25"	"2017"	"2017"	2323	6859819	33.9
	"Michigan"	"26"	"1999"	"1999"	708	9897116	7.2
	"Michigan"	"26"	"2000"	"2000"	871	9938444	8.8
	"Michigan"	"26"	"2001"	"2001"	955	9991120	9.6
	"Michigan"	"26"	"2002"	"2002"	1080	10015710	10.8
	"Michigan"	"26"	"2003"	"2003"	1062	10041152	10.6
	"Michigan"	"26"	"2004"	"2004"	1208	10055315	12.0
	"Michigan"	"26"	"2005"	"2005"	1398	10051137	13.9
	"Michigan"	"26"	"2006"	"2006"	1661	10036081	16.6
	"Michigan"	"26"	"2007"	"2007"	1542	10001284	15.4
	"Michigan"	"26"	"2008"	"2008"	1575	9946889	15.8
	"Michigan"	"26"	"2009"	"2009"	1750	9901591	17.7
	"Michigan"	"26"	"2010"	"2010"	1723	9883640	17.4
